Checklist,Test,What to do & what you should see,Result (Pass/Partial/Fail),Notes,Screenshot link
01 Create Activity Unit,TC 1.1 Open the form,"Drag ACTIVITY UNIT from the left palette onto the canvas. A dialog titled 'Activity Unit Form' opens with two sections (Gene Product, Function Description); Save is greyed out.",,,
01 Create Activity Unit,TC 1.2 Minimal valid activity,"Fill Molecular Function (type, click a suggestion) and Gene Product. Save turns active. Click Save; a new activity appears on the canvas. (No evidence needed for just these two.)",,,
01 Create Activity Unit,TC 1.3 Required field empty blocks Save,"Fill only Molecular Function and leave Gene Product empty. Save stays greyed out; the 'Why is the Save button disabled?' link explains the missing required item. Fill Gene Product; Save activates.",,,
01 Create Activity Unit,TC 1.4 Add context (BP and CC),"On the Molecular Function row use the three-dots menu > Add Context > 'part of' (Biological Process) and 'occurs in' (Cellular Component). New rows appear; fill each term. Each new row shows empty Reference/With columns.",,,
01 Create Activity Unit,TC 1.5 Filled context row needs evidence,"With a Biological Process term filled but no evidence, Save is greyed out and the 'Why disabled?' popup says it 'requires at least one evidence'. Add evidence (code + PMID:12345); Save activates and saves.",,,
01 Create Activity Unit,TC 1.6 Reference must be DB:accession,"On a context row with an evidence code, type '12345' (no prefix) - Save stays disabled. 'FOO:123' also rejected. 'PMID:12345' (or DOI:/GO_REF:) makes Save active.",,,
01 Create Activity Unit,TC 1.7 Evidence code with no reference blocks Save,"Fill an evidence code but leave Reference empty - Save disabled; popup says you provided an evidence but no reference. Add PMID:12345; Save activates.",,,
01 Create Activity Unit,TC 1.8 Clear the form,"Click Clear; the form resets to empty. Close the dialog; anything not saved is not on the canvas.",,,
02 Create Chemical,TC 2.1 Open the Chemical form,"Drag CHEMICAL onto the canvas. Dialog titled 'Chemical Form' opens. First section is 'Chemical', second is 'Location (optional)'. The chemical row has no Reference/With columns.",,,
02 Create Chemical,TC 2.2 Chemical search returns chemicals only,"In the Chemical box type a chemical (e.g. glucose, ATP) - only chemical (ChEBI) suggestions appear. A gene name like BRCA1 does NOT appear.",,,
02 Create Chemical,TC 2.3 Chemical row hides inapplicable menu items,"Open the chemical row's three-dots menu. It does NOT offer Search Annotations, Fill with root term, or ISS/ISO/IC. It does still offer Add Context.",,,
02 Create Chemical,TC 2.4 Optional Location,"Add Context > 'located in' (Cellular Component); a Location row appears. Removing it or leaving Location empty still allows Save (Location is optional).",,,
02 Create Chemical,TC 2.5 Save the chemical,"With just the Chemical term filled, Save is active. Click Save; a chemical node (a circle) appears on the canvas.",,,
03 Create Protein Complex,TC 3.1 Open the form,"Drag PROTEIN COMPLEX onto the canvas. Dialog titled 'Protein Complex Form' opens. An amber note warns it should be used rarely. The Molecular Function row is visible and editable.",,,
03 Create Protein Complex,TC 3.2 Complex term accepts GO complex terms,"Fill Molecular Function. In the Protein Complex row (Gene Product section) type a complex name (e.g. proteasome) - GO complex term suggestions appear; pick one.",,,
03 Create Protein Complex,TC 3.3 Add subunits with 'has part',"The Protein Complex row's menu is a + (plus) button offering 'has part' > Gene Product. Add two gene-product subunits and fill their terms. Each subunit has a remove option.",,,
03 Create Protein Complex,TC 3.4 No complex inside a complex,"On a gene-product subunit row, Add Context must NOT offer 'part of > Protein Complex'.",,,
03 Create Protein Complex,TC 3.5 Add function context and save,"On the Molecular Function row add 'part of' (BP) and/or 'occurs in' (CC) with a term and one evidence (PMID:12345). Save activates; the complex appears on the canvas listing its subunits.",,,
04 Evidence,TC 4.1 Add an evidence row,"On a context row use three-dots > Evidence > Add evidence. An empty evidence appears with evidence code, Reference, and With boxes. Add a second the same way.",,,
04 Evidence,TC 4.2 Pick an evidence code,"Click the evidence code box, type a few letters (e.g. direct assay); a dropdown of evidence codes appears; click one to fill it.",,,
04 Evidence,TC 4.3 Reference must be DB:accession (allowed DBs only),"Click the Reference box - an editor opens with a database dropdown (PMID/DOI/GO_REF) and an accession field. PMID + a real id may show an article preview. A bare number or a made-up prefix like FOO:1 is not accepted.",,,
04 Evidence,TC 4.4 With/From (optional),"Click the With box - choose a database and accession (e.g. UniProtKB + id). A value must contain a colon or Save is blocked. Leaving With empty is fine.",,,
04 Evidence,TC 4.5 ISS/ISO/IC shortcuts auto-fill,"three-dots > Evidence > ISS auto-fills code ECO:0000250 + GO_REF:0000024. ISO = ECO:0000266 + GO_REF:0000024. IC = ECO:0000305 + GO_REF:0000036.",,,
04 Evidence,TC 4.7 Remove evidence,"On a row with evidence, Evidence > Remove Evidence (or the trash icon) removes the evidence.",,,
04 Evidence,TC 4.8 Evidence row menu (editing existing activity),"In the Add Evidence dialog (from the right-side table), each evidence row has its own three-dots menu: Add evidence, ISS, ISO, IC, Clear Values, Delete. Clear Values empties the row; Delete is disabled when only one row remains; ISS/ISO/IC replace the current row.",,,
04 Evidence,TC 4.9 See which databases are allowed,"Click the info (i) icons next to the Reference and With column headers. Reference popover lists PMID/DOI/GO_REF; With popover lists a longer set of allowed databases.",,,
04 Evidence,Spot check - whitespace in references,"Type a reference with a leading/trailing space; note whether it is cleaned up or rejected (area still being worked on).",,,
05 Autocomplete,TC 5.1 Typing searches; clicking picks,"In a term box type 2-3 letters; after a short pause a dropdown of terms (name + id) appears. Click one to fill the box. Typing without clicking does NOT select a term.",,,
05 Autocomplete,TC 5.2 Min characters / clearing,"A single character shows no dropdown. After getting results, deleting back to empty hides the suggestions.",,,
05 Autocomplete,TC 5.3 Already-used terms appear before typing,"In a model with existing activities, click into a term box without typing - a short list of terms already used in the model is offered.",,,
05 Autocomplete,TC 5.4 Each box offers only the right kind of term,"Molecular Function box = MF terms only; Location/CC box = CC terms only (no protein complexes); Chemical box = chemicals only (no gene products); Protein Complex box = GO complex terms; Evidence code box = evidence codes.",,,
05 Autocomplete,TC 5.5 Reference suggestions + article preview,"In a Reference editor choose PMID; typing an accession may show suggestions and/or an article title preview. Switching to DOI/GO_REF changes what is accepted.",,,
05 Autocomplete,TC 5.6 No-results state,"Type a nonsense string (e.g. zzzqqq) - the dropdown shows no matches (empty/no-results), not an error.",,,
05 Autocomplete,Spot check - canonical at top,"If a gene has a 'canonical' entry, note whether it appears at/near the top of suggestions (area still being worked on).",,,
06 Search Annotations,TC 6.1 Needs a gene product first,"In a new Activity Unit with no gene product, three-dots > Search Annotations shows a message to add a gene product first. After filling a gene product, it opens.",,,
06 Search Annotations,TC 6.2 Pick a term and its evidence,"With a gene product set, open Search Annotations on a function/process/component row. Select a term; an evidence table appears. Tick evidences. Done is disabled until a term is selected. Click Done; the row fills with the term AND all ticked evidences.",,,
06 Search Annotations,TC 6.3 Cancel keeps your typing,"Type something in the form first. Open Search Annotations then Cancel (or Escape, or click outside). The form still shows everything you typed - nothing lost.",,,
06 Search Annotations,TC 6.4 Picker stacks on top of the form,"With Search Annotations open the form stays visible underneath. Escape or background click closes only the picker, not the form.",,,
07 Connect activities,TC 7.1 Draw an arrow,"Hover an activity edge until a connection point appears; drag to a second activity and release on it. A connector form opens naming the source and target.",,,
07 Connect activities,TC 7.2 Form guides the relationship,"Choose a relationship (e.g. Regulation, Provides input for, Removes input for, Constitutively upstream, Undetermined). For a regulation an Effect direction (Positive/Negative) and a Directness (Direct/Indirect) appear. A 'suggested causal relation' label updates as you choose.",,,
07 Connect activities,TC 7.3 Save blocked until valid relation,"Before enough choices are made Save is greyed out and a 'Why disabled?' explanation is available. A complete valid relation makes Save active.",,,
07 Connect activities,TC 7.4 Evidence on the connector (optional),"Add an evidence (code + PMID:12345) like on activity rows; you can also save without evidence.",,,
07 Connect activities,TC 7.5 Save creates the arrow,"Click Save; a success message 'Causal relation successfully created.' appears; the dialog closes and a labelled arrow appears between the two activities.",,,
07 Connect activities,TC 7.6 Edit an existing arrow,"Double-click an existing arrow; the connector form re-opens with current values. Change the relationship and Save; the arrow updates.",,,
07 Connect activities,TC 7.7 Delete an arrow,"In the connector form for an existing arrow, click Delete; confirm; the arrow is removed.",,,
07 Connect activities,TC 7.8 Connect via chemical intermediate,"Choose 'Provides input for'; a 'Connect via Chemical Intermediate' button appears. It opens a chemical connector listing candidate molecules grouped (both / only first / only second). Save is blocked with none selected; tick one+ and Save.",,,
07 Connect activities,TC 7.9 Cannot connect an activity to itself,"Drag a connection from an activity back onto the same activity - it is not allowed; no connector form opens.",,,
07 Connect activities,TC 7.10 Cannot draw a duplicate arrow,"With one arrow already between A and B, try to draw a second from A to B - it is not created (only one connection allowed between the same pair).",,,
08 Edit/Duplicate/Delete,TC 8.1 Edit via pencil / double-click,"Hover an activity; an edit (pencil) icon appears. Click it (or double-click the node); the form opens titled 'Edit ...'. Change a term or add context and Save; the node updates.",,,
08 Edit/Duplicate/Delete,TC 8.2 Edit via the right-side table,"Single-click an activity; the right drawer opens on the Activity Table tab. Click a term cell to edit just that field. Use Add Context to add a child, or Add Evidence to open the evidence dialog.",,,
08 Edit/Duplicate/Delete,TC 8.3 Duplicate an activity,"Hover an activity; a duplicate icon appears (between edit and delete). Click it; the form opens prefilled with a copy (title is NOT 'Edit'). Save makes a brand-new activity; the original is unchanged. The original's arrows are NOT copied.",,,
08 Edit/Duplicate/Delete,TC 8.4 Delete an activity,"Hover an activity; a delete (trash) icon appears. Click it; a confirmation warns it cannot be undone. Confirm; the node and its arrows disappear. (Cancel instead = nothing deleted.)",,,
08 Edit/Duplicate/Delete,TC 8.5 Editing a chemical shows chemical labels,"Edit a chemical activity. Header reads 'Chemical' (e.g. Edit Chemical / Chemical Form); sections are 'Chemical' and 'Location (optional)', not generic 'Activity/Function Description'. No evidence column and no 'no evidence present' text.",,,
09 Comments,TC 9.1 Open the Comments dialog,"Click the comment icon in the top toolbar; a Comments dialog opens. With none yet it shows 'No comments yet'.",,,
09 Comments,TC 9.2 Add comments,"Click Add Comment; a text box appears. The button becomes 'Add Another Comment'; add a second. Save closes the dialog. The comment icon shows a count badge.",,,
09 Comments,TC 9.3 Blank comments not saved,"Add a box but leave it empty (or spaces only) and Save; the blank comment is dropped and not counted.",,,
09 Comments,TC 9.4 Removing a written comment confirms,"Click the trash icon next to a comment with text; a confirmation 'Remove this comment? This cannot be undone.' appears; confirm to remove. Removing an empty box removes it immediately (no confirmation).",,,
09 Comments,TC 9.5 Comments persist,"After saving, reopen the dialog (or reload the model); your comments are still there.",,,
10 Title & State,TC 10.1 Untitled model can be named,"Toolbar shows 'Untitled' (grey italics) when there is no title. Click the pencil next to the title; an Edit Title dialog opens. Save is disabled while empty. Type a title; Save activates; click Save; the toolbar shows your title.",,,
10 Title & State,TC 10.2 Change the title,"Click the title pencil again, change the text, Save; the toolbar updates. Open again and Cancel; the title is unchanged.",,,
10 Title & State,TC 10.3 Change the model state,"Click the coloured state tag (has a small pencil); a Change State dialog opens with a State dropdown. Pick a different state and Save; the tag updates (colour may change). Open again and Cancel; state unchanged.",,,
10 Title & State,TC 10.4 Date chip is display-only,"Find the date chip (calendar icon) and click it; nothing should happen (it is not a button and must not open a dialog or break).",,,
11 Graph visualization,TC 11.1 Activities drawn with details,"An activity node shows its gene product and molecular function; a chemical is drawn as a circle; a protein complex shows its subunits.",,,
11 Graph visualization,TC 11.2 Connector arrows show the relation,"An arrow shows the relation (e.g. positively regulates). Positive vs negative relations look different (arrowhead shape / colour).",,,
